Sum of st_lum,rowid
-0.197,124
-0.32,184
-2.852,510
-2.77,514
-1.886,571
-2.056,585
-1.658,606
-1.658,610
-1.959,664
-1.863,732
-1.863,737
-1.672,757
-1.8943999999999999,795
-1.052,819
0.021,1765
0.173,1776
0.786,1806
0.477,1855
-0.001,1889
0.0485,2041
-0.337,2141
0.602,2148
0.06,2198
-1.034,2227
-0.01,2231
1.581,2292
0.556,2337
0.278,2348
0.508,2369
-0.155,2401
0.288,2534
0.25,2536
-0.187,2652
-0.032,2794
-0.452,2868
0.22,2923
0.303,3156
-0.612,3235
0.086,3245
-0.137,3273
-0.22,3290
1.154,3304
0.18225,3595
0.66,3632
1.05,3829
1.2389999999999999,3862
1.215,5809
-0.86,7690
-0.623,8542
-1.308,9599
-0.818,13604
-0.582,13659
-0.393,13771
-0.6849999999999999,14184
-1.638,14798
-0.636,14806
0.456,15371
0.182,15381
-0.57,15747
-0.662,17164
-0.16066666666666665,19140
-0.9440000000000001,21293
-1.569,21713
-1.057,25443
-0.8525,25462
-0.5905,25472
-0.076,25851
-0.26433333333333336,27085
0.21250000000000002,28850
-1.3355,29136
-0.484,29206
-2.841,32954
-2.803,33586
-0.161,33855
-0.036,33973
0.2605,34027
-0.338,34123
-1.636,34709
-3.265333333333333,34829
-2.531,36242
